icao,name,municipality,iso_country,type,latitude_deg,longitude_deg
FAWR,Wavecrest Airport,Wavecrest,ZA,small_airport,-32.589906,28.518491
FAWS,Wesselbronn Af Airport,Wesselsbron,ZA,small_airport,-27.84670066833496,26.35059928894043
FAWT,Winterveldt Mine Airport,Doornbosch,ZA,small_airport,-24.660091,30.180422
FAWV,White River Mercy Air,White River,ZA,small_airport,-25.319676,30.970782
FAYP,Ysterplaat Air Force Base,Cape Town,ZA,medium_airport,-33.9002,18.498301
FAZP,Mazeppa Bay Airport,Mazeppa Bay,ZA,small_airport,-32.472152,28.65052
FAZQ,Star Airport,Star,ZA,small_airport,-26.89310073852539,27.690000534057617
FAZR,Zeerust Airport,Zeerust,ZA,small_airport,-25.599001,26.042299
FBAB,Abu Airport,Abu's Camp,BW,small_airport,-19.4159,22.5526
FBBP,Bottle Pan Airport,Bottle Pan,BW,small_airport,-18.7704,25.2458
FBBS,Bokspits Airport,Bokspits,BW,small_airport,-26.8881,20.6921
FBCH,Chobe Airport,Linyanti,BW,small_airport,-18.534381,23.660149
FBCM,Cement Airport,Cement,BW,small_airport,-19.541,22.591
FBCO,Camp Okavango Airport,Camp Okavango,BW,small_airport,-19.131115,23.102505
FBDT,Delta Camp Airport,Delta Camp,BW,small_airport,-19.533698,23.093792
FBDV,Deception Valley Airport,Deception Valley Lodge,BW,small_airport,-20.9866,23.6576
FBPM,Phillip Gaonwe Matante International Airport,Francistown,BW,large_airport,-21.159183,27.468826
FBGD,Gundingwa Airport,Gundingwa,BW,small_airport,-18.61649,22.915932
FBGH,Goodhope Airport,Goodhope,BW,small_airport,-25.4329,25.4092
FBGM,Gumare Airport,Gumare,BW,small_airport,-19.338,22.1544
FBGP,Gope Airport,Gope,BW,small_airport,-22.6523,24.7536
FBGS,Grassland Airport,Grassland Lodge,BW,small_airport,-21.7255,22.362657
FBGU,Guma Airport,Guma,BW,small_airport,-18.953997,22.367073
FBGW,Gweta Airport,Gweta,BW,small_airport,-20.1987,25.2187
FBGY,Grundy's Airport,Grundy's Lodge,BW,small_airport,-21.40437,27.694864
FBGZ,Ghanzi Airport,Ghanzi,BW,small_airport,-21.692499,21.6581
FBHU,Hunda Airport,Tubu Tree Camp,BW,small_airport,-19.2765,22.475646
FBHV,Haina Ventures Airport,Hainaveld,BW,small_airport,-20.9524,23.669184
FBJA,Jao Airport,Jao Camp,BW,small_airport,-19.3163,22.5951
FBJC,Tsigaro Airport,Jack's Camp,BW,small_airport,-20.4563,25.1507
FBJW,Jwaneng Airport,Jwaneng,BW,medium_airport,-24.602301,24.691
FBKA,Kaa Airport,Kaa,BW,small_airport,-24.330635,20.635671
FBKD,Kwando Lagoon Airport,Lagoon Camp,BW,small_airport,-18.209087,23.387197
FBKE,Kasane International Airport,Kasane,BW,large_airport,-17.831653,25.166195
FBKG,Kang Airport,Kang,BW,small_airport,-23.677969,22.817767
FBKI,Kiri Airport,Kiri Camp,BW,small_airport,-19.61594,23.04234
FBKK,Kanana Airport,Kanana Camp,BW,small_airport,-19.5688,22.875575
FBKP,Kings Pool Airport,Kings Pool,BW,small_airport,-18.441959,23.688716
FBKR,Khwai River Lodge Airport,Khwai River Lodge,BW,small_airport,-19.149477,23.787937
FBKW,Kwando Lebala Airport,Lebala Camp,BW,small_airport,-18.36099,23.53049
FBKY,Kanye Airport,Kanye,BW,small_airport,-25.049999,25.3167
FBLL,Limpopo-Lipadi Airport,Limpopo-Lipadi,BW,small_airport,-22.55153,28.492105
FBMG,Machaneng Airport,Machaneng,BW,small_airport,-23.18455,27.501029
FBMN,Maun International Airport,Maun,BW,large_airport,-19.970491,23.431409
FBMU,Mamuno Airport,Mamuno,BW,small_airport,-22.268095,20.031092
FBNB,Nxabega Airport,Nxabega,BW,small_airport,-19.4902,22.789192
FBNN,Nokaneng Airport,Nokaneng,BW,small_airport,-19.6802,22.1996
FBNT,Nata Airport,Nata,BW,small_airport,-20.216101,26.158899
FBNW,Moremi Crossing Airstrip,Moremi Crossing,BW,small_airport,-19.52899,23.139408
FBNX,Nxamaseri Airport,Nxamaseri Lodge,BW,small_airport,-18.5992,22.0696
FBOD,Oakdene Airport,Oakdene,BW,small_airport,-21.4578,21.8057
FBOK,Okwa Airport,Okwa,BW,small_airport,-23.083,21.882999
FBOM,Omdop Airport,Duba Plains Camp,BW,small_airport,-19.0175,22.703
FBOR,Orapa Airport,Orapa,BW,small_airport,-21.265901,25.319667
FBPA,Pandamatenga Airport,Pandamatenga,BW,small_airport,-18.5312,25.6516
FBPY,Palapye Airport,Palapye,BW,small_airport,-22.564087,27.136745
FBSI,Saile Airport,Saile,BW,small_airport,-18.1357,24.067
FBSK,Sir Seretse Khama International Airport,Gaborone,BW,large_airport,-24.555201,25.9182
FBSL,Selinda Airport,Selinda,BW,small_airport,-18.579181,23.483757
FBSN,Sua Pan Airport,Sowa,BW,medium_airport,-20.5534,26.115801
FBSP,Selebi Phikwe Airport,Selebi Phikwe,BW,medium_airport,-22.0583,27.8288
FBSV,Savuti Airport,Savuti,BW,small_airport,-18.518475,24.077687
FBSW,Shakawe Airport,Shakawe,BW,small_airport,-18.373899459838867,21.832599639892578
FBTH,Tsodilo Hills Airport,Tsodilo,BW,small_airport,-18.7804,21.7416
FBTL,Tuli Lodge Airport,Tuli Lodge,BW,small_airport,-22.191897,29.131229
FBTN,Tonunga Airport,Tonunga,BW,small_airport,-19.5085,25.0781
FBPT,Thebephatshwa Airport,,BW,small_airport,-24.2211,25.3473
FBTS,Tshabong Airport,Tshabong,BW,small_airport,-26.034524,22.401252
FBVM,Vumbura Airport,Vumbura,BW,small_airport,-18.955395,22.814533
FBXA,Xai Xai Airport,Xaxa,BW,small_airport,-19.877718,21.075295
FBXB,Xaxaba Airport,Xaxaba,BW,small_airport,-19.550501,23.0548
FBXG,Xugana Airport,,BW,small_airport,-19.049999,23.09
FBXI,Xigera Airport,Xigera,BW,small_airport,-19.385485,22.737648
FBXR,Xorogom Airport,Xorogom,BW,small_airport,-18.7068,23.0937
FCBA,La Louila Airport,La Louila,CG,small_airport,-4.083000183105469,14.232999801635742
FCBB,Maya-Maya International Airport,Brazzaville,CG,large_airport,-4.2517,15.253
FCBD,Djambala Airport,Djambala,CG,small_airport,-2.516883,14.754403
FCBK,Kindamba Airport,Kindamba,CG,small_airport,-3.749781,14.490264
FCBL,Lague Airport,Lague,CG,small_airport,-2.45,14.533
FCBM,Mouyondzi Airport,Mouyondzi,CG,small_airport,-4.014874,13.966112
FCBP,M'passa Airport,M'passa,CG,small_airport,-4.367000102996826,14.149999618530273
FCBS,Sibiti Airport,Sibiti,CG,small_airport,-3.68661,13.37402
FCBT,Loutete Airport,Loutete,CG,small_airport,-4.2829999923706055,13.866999626159668
FCBU,Aubeville Airport,Aubeville,CG,small_airport,-4.267000198364258,13.532999992370605
